valid_time,TdAI Run Time (UTC),TdAI Status,NBM Temperature (F),NBM Dewpoint (F),TdAI Predicted Bias (F),TdAI Corrected Dewpoint (F),ASOS Ground Truth Dewpoint (F),Raw NBM Error (F),Post TdAI Error (F),TdAI Skill Score (%),TdAI Top Drivers,NBM Max Wind Gust 15-21Z (kts)
2026-08-15 21:00:00,2026-08-15 21:43 UTC,Active,75.0,48.0,0.2,47.8,48.0,0.0,-0.2,0.0,Time of Year: -0.45F | rh_925: +0.23F | NBM Mixing Height (100s ft AGL): -0.22F | rh_800: -0.13F | rh_975: +0.12F,
2026-08-16 21:00:00,2026-08-16 14:47 UTC,Sky > 60 %,,,0.0,,53.0,,,,,
2026-08-17 21:00:00,2026-08-17 14:47 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,65.0,,,,,
2026-08-18 21:00:00,2026-08-18 14:48 UTC,RH > 60 %,,,0.0,,62.0,,,,,
2026-08-19 21:00:00,2026-08-19 14:48 UTC,Sky > 60 %,,,0.0,,63.0,,,,,
2026-08-20 21:00:00,2026-08-20 14:47 UTC,Sky > 60 %,,,0.0,,54.0,,,,,
2026-08-21 21:00:00,2026-08-21 14:47 UTC,Active,76.0,46.0,0.4,45.6,44.0,2.0,1.6,20.0,Time of Year: +0.45F | NBM Cloud Cover (%): -0.32F | NBM RH (%): -0.29F | rh_925: -0.22F | 700mb-500mb Lapse Rate (C/km): +0.21F,
2026-08-22 21:00:00,2026-08-22 14:47 UTC,Sky > 60 %,,,0.0,,50.0,,,,,
2026-08-23 21:00:00,2026-08-23 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,67.0,,,,,
2026-08-24 21:00:00,2026-08-24 14:48 UTC,Active,77.0,59.0,1.1,57.9,60.0,-1.0,-2.1,-110.0,Time of Year: +0.74F | rh_925: -0.54F | hrrr_lpw (mm): +0.38F | rh_875: -0.34F | NBM RH (%): +0.26F,
2026-08-25 21:00:00,2026-08-25 14:47 UTC,Active,74.0,55.0,0.0,55.0,61.0,-6.0,-6.0,0.0,Time of Year: +0.50F | hrrr_lpw (mm): +0.27F | rh_750: +0.24F | rh_925: -0.18F | rh_700: +0.16F,
2026-08-26 21:00:00,2026-08-26 14:47 UTC,Active,79.0,54.0,0.6,53.4,57.0,-3.0,-3.6,-20.0,Time of Year: +0.45F | rh_925: -0.20F | 700mb-500mb Lapse Rate (C/km): -0.16F | hrrr_lpw (mm): +0.16F | NBM Mixing Height (100s ft AGL): +0.16F,
2026-08-27 21:00:00,2026-08-27 14:47 UTC,Active,77.0,58.0,0.4,57.6,59.0,-1.0,-1.4,-40.0,Time of Year: +0.44F | rh_925: -0.18F | hrrr_lpw (mm): +0.16F | rh_975: -0.14F | NBM RH (%): +0.12F,
2026-08-28 21:00:00,2026-08-28 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,62.0,,,,,
2026-08-29 21:00:00,2026-08-29 14:47 UTC,Active,73.0,45.0,1.1,43.9,45.0,0.0,-1.1,0.0,Time of Year: +0.52F | NBM RH (%): -0.40F | rh_925: -0.28F | NBM Cloud Cover (%): -0.22F | NBM Mixing Height (100s ft AGL): +0.20F,
2026-08-30 21:00:00,2026-08-30 23:53 UTC,Sky > 60 %,,,0.0,,56.0,,,,,
2026-08-31 21:00:00,2026-08-31 14:47 UTC,Active,73.0,48.0,0.9,47.1,48.0,0.0,-0.9,0.0,Time of Year: +0.56F | NBM Cloud Cover (%): -0.26F | rh_925: -0.25F | rh_500: -0.17F | rh_975: -0.13F,11.0
2026-09-01 21:00:00,2026-09-01 14:48 UTC,Active,73.0,48.0,1.0,47.0,45.0,3.0,2.0,33.3,Time of Year: +0.57F | rh_925: -0.49F | rh_500: -0.29F | NBM Mixing Height (100s ft AGL): +0.26F | rh_900: -0.23F,7.0
2026-09-02 21:00:00,2026-09-02 14:48 UTC,Active,73.0,50.0,1.0,49.0,,,,,Time of Year: +0.61F | rh_925: -0.49F | rh_975: -0.28F | rh_900: -0.20F | rh_1000: -0.18F,10.0
2026-09-03 21:00:00,2026-09-02 14:48 UTC,"RH > 60 %, Sky > 60 %",,,0.0,,,,,,,
